City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
391,luganville,75,VU,1568687812,74,-15.51,167.18,78.8,11.41
392,tagusao,100,PH,1568687813,73,9.19,117.81,84.0,15.14
393,verkhnyaya inta,99,RU,1568687813,77,65.99,60.32,41.52,8.41
394,ilheus,40,BR,1568687759,94,-14.79,-39.05,71.6,3.36
395,novobohdanivka,0,UA,1568687813,100,46.87,31.96,59.0,6.71
396,sitka,53,US,1568687814,50,37.17,-99.65,79.0,15.01
397,vao,100,EE,1568687814,88,59.1,26.19,47.1,6.42
398,chapais,20,CA,1568687814,87,49.78,-74.86,44.6,5.82
399,la ronge,40,CA,1568687816,88,55.1,-105.3,64.4,9.17
400,sorland,100,NO,1568687816,79,67.67,12.69,49.26,16.22
401,buraydah,0,SA,1568687816,31,26.33,43.97,77.0,3.36
402,bahia de caraquez,90,EC,1568687816,83,-0.6,-80.42,73.4,4.7
403,lazaro cardenas,75,MX,1568687817,53,28.39,-105.62,77.0,14.99
404,takapau,100,NZ,1568687817,77,-40.02,176.35,57.99,8.01
405,kadyy,100,RU,1568687817,88,57.79,43.19,48.18,10.96
406,linjiang,2,CN,1568687817,45,41.81,126.91,64.2,5.53
407,milyutinskaya,49,RU,1568687818,50,48.63,41.67,55.02,6.08
408,gamba,93,CN,1568687818,70,28.28,88.52,42.42,4.79
409,cherskiy,80,RU,1568687818,44,68.75,161.3,56.46,2.06
410,kampot,75,KH,1568687818,83,10.62,104.18,78.8,11.41
411,kununurra,99,AU,1568687818,43,-15.77,128.74,87.8,8.05
412,palembang,100,ID,1568687819,49,-2.99,104.76,88.14,6.58
413,fukue,75,JP,1568687819,65,35.03,136.69,93.99,4.7
414,vagur,45,FO,1568687819,78,61.47,-6.81,47.46,28.21
415,griffith,90,AU,1568687819,54,-34.29,146.06,55.4,16.11
416,sicamous,90,CA,1568687820,93,50.84,-118.99,55.4,5.82
417,clarksburg,90,US,1568687672,69,39.24,-77.28,79.0,3.36
418,ngunguru,100,NZ,1568687820,52,-35.62,174.5,70.0,11.01
419,inuvik,90,CA,1568687638,70,68.36,-133.71,44.6,3.36
420,chandur,96,IN,1568687821,85,20.82,77.97,79.32,8.03
421,galashki,0,RU,1568687821,77,43.1,44.99,62.6,4.47
422,mount darwin,0,ZW,1568687821,87,-16.77,31.58,53.94,2.28
423,oromocto,90,CA,1568687821,82,45.85,-66.47,59.0,6.93
424,aksu,0,KZ,1568687822,71,52.04,76.93,53.6,8.95
425,lianyuan,100,CN,1568687822,82,27.69,111.67,66.72,4.47
426,herat,0,AF,1568687822,30,34.35,62.22,55.4,2.24
427,kapuskasing,75,CA,1568687791,93,49.42,-82.43,59.0,2.24
428,nhulunbuy,75,AU,1568687822,58,-12.18,136.78,82.4,16.11
429,luderitz,0,NA,1568687823,87,-26.65,15.16,55.4,11.41
430,mandalgovi,0,MN,1568687823,36,45.76,106.27,50.16,10.51
431,bandarbeyla,65,SO,1568687823,77,9.49,50.81,75.36,21.68
432,damaturu,98,NG,1568687824,77,11.75,11.96,71.94,7.74
433,fot,0,FR,1568687824,40,45.58,1.02,71.01,6.93
434,tadine,97,NC,1568687824,63,-21.55,167.88,71.04,8.77
435,kentau,0,KZ,1568687824,26,43.52,68.5,68.16,3.53
436,steamboat springs,1,US,1568687825,45,40.48,-106.83,68.0,3.29
437,strezhevoy,20,RU,1568687825,87,60.73,77.6,51.8,6.71
438,samfya,98,ZM,1568687825,67,-11.37,29.56,59.52,4.97
439,te anau,20,NZ,1568687825,60,-45.41,167.72,40.8,11.81
440,melaka,90,MY,1568687826,79,2.19,102.26,84.2,3.36
441,qafqafa,0,JO,1568687826,56,32.35,35.94,68.0,2.55
442,saint-pierre,21,FR,1568687826,93,48.95,4.24,60.8,4.7
443,avesta,13,SE,1568687826,78,60.15,16.18,35.6,3.36
444,arman,100,RU,1568687827,72,59.7,150.17,48.72,4.56
445,dandong,96,CN,1568687827,54,40.12,124.37,69.78,2.24
446,the pas,1,CA,1568687827,73,53.82,-101.24,71.6,9.17
447,moindou,90,NC,1568687827,47,-21.69,165.68,78.8,11.41
448,tefe,17,BR,1568687828,88,-3.35,-64.71,75.0,2.86
449,amahai,70,ID,1568687828,82,-3.31,129.0,77.88,9.33
450,cochrane,100,CL,1568687828,99,-47.25,-72.57,35.4,3.76
451,upernavik,57,GL,1568687828,55,72.79,-56.15,30.54,12.19
452,belen,90,US,1568687625,72,34.66,-106.78,75.2,23.04
453,behshahr,0,IR,1568687829,100,36.69,53.54,64.4,2.24
454,la paz,20,MX,1568687829,45,24.15,-110.32,87.8,3.36
455,morehead,1,US,1568687829,65,38.18,-83.43,80.6,3.83
456,iskateley,79,RU,1568687830,94,67.68,53.15,39.72,7.54
457,manggar,100,ID,1568687830,62,-2.88,108.27,84.54,9.33
458,serebryansk,100,KZ,1568687830,56,49.68,83.3,55.74,6.13
459,hovd,75,NO,1568687830,75,63.83,10.7,51.01,16.11
460,tabas,0,IR,1568687831,21,33.6,56.92,69.8,2.24
461,pangnirtung,96,CA,1568687655,58,66.15,-65.72,28.38,2.13
